REGION;COUNTRY;BRAND;DATE;SALES
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-01;11807
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-02;9818
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-03;17870
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-04;11307
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-05;13881
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-06;13971
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-07;9215
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-08;5648
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-09;9338
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-10;9138
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-11;7893
EMEA SOUTH;ITALIA;ALFA ROMEO;2015-12;7283
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-01;8915
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-02;7309
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-03;10735
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-04;9666
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-05;10159
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-06;9587
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-07;7594
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-08;4232
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-09;7549
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-10;6161
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-11;4983
EMEA SOUTH;ITALIA;ALFA ROMEO;2016-12;4523
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-01;5180
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-02;4923
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-03;8030
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-04;4861
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-05;7651
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-06;5140
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-07;5136
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-08;2765
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-09;6415
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-10;4678
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-11;4885
EMEA SOUTH;ITALIA;ALFA ROMEO;2017-12;3986
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-01;4020
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-02;4791
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-03;7435
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-04;5883
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-05;5799
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-06;4984
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-07;4834
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-08;2435
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-09;5636
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-10;4036
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-11;4415
EMEA SOUTH;ITALIA;ALFA ROMEO;2018-12;4904
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-01;3332
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-02;4425
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-03;5980
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-04;4316
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-05;5842
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-06;5359
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-07;4630
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-08;3147
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-09;5575
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-10;4988
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-11;4020
EMEA SOUTH;ITALIA;ALFA ROMEO;2019-12;3603
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-01;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-02;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-03;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-04;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-05;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-06;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-07;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-08;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-09;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-10;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-11;
EMEA SOUTH;ITALIA;ALFA ROMEO;2020-12;
EMEA NORTH;UK;GM;2015-01;53
EMEA NORTH;UK;GM;2015-02;101
EMEA NORTH;UK;GM;2015-03;92
EMEA NORTH;UK;GM;2015-04;81
EMEA NORTH;UK;GM;2015-05;129
EMEA NORTH;UK;GM;2015-06;66
EMEA NORTH;UK;GM;2015-07;98
EMEA NORTH;UK;GM;2015-08;58
EMEA NORTH;UK;GM;2015-09;67
EMEA NORTH;UK;GM;2015-10;49
EMEA NORTH;UK;GM;2015-11;43
EMEA NORTH;UK;GM;2015-12;74
EMEA NORTH;UK;GM;2016-01;98
EMEA NORTH;UK;GM;2016-02;52
EMEA NORTH;UK;GM;2016-03;60
EMEA NORTH;UK;GM;2016-04;42
EMEA NORTH;UK;GM;2016-05;56
EMEA NORTH;UK;GM;2016-06;79
EMEA NORTH;UK;GM;2016-07;37
EMEA NORTH;UK;GM;2016-08;22
EMEA NORTH;UK;GM;2016-09;33
EMEA NORTH;UK;GM;2016-10;46
EMEA NORTH;UK;GM;2016-11;35
EMEA NORTH;UK;GM;2016-12;56
EMEA NORTH;UK;GM;2017-01;33
EMEA NORTH;UK;GM;2017-02;36
EMEA NORTH;UK;GM;2017-03;30
EMEA NORTH;UK;GM;2017-04;51
EMEA NORTH;UK;GM;2017-05;42
EMEA NORTH;UK;GM;2017-06;38
EMEA NORTH;UK;GM;2017-07;40
EMEA NORTH;UK;GM;2017-08;21
EMEA NORTH;UK;GM;2017-09;34
EMEA NORTH;UK;GM;2017-10;38
EMEA NORTH;UK;GM;2017-11;29
EMEA NORTH;UK;GM;2017-12;42
EMEA NORTH;UK;GM;2018-01;37
EMEA NORTH;UK;GM;2018-02;35
EMEA NORTH;UK;GM;2018-03;31
EMEA NORTH;UK;GM;2018-04;39
EMEA NORTH;UK;GM;2018-05;37
EMEA NORTH;UK;GM;2018-06;41
EMEA NORTH;UK;GM;2018-07;51
EMEA NORTH;UK;GM;2018-08;64
EMEA NORTH;UK;GM;2018-09;40
EMEA NORTH;UK;GM;2018-10;34
EMEA NORTH;UK;GM;2018-11;28
EMEA NORTH;UK;GM;2018-12;51
EMEA NORTH;UK;GM;2019-01;62
EMEA NORTH;UK;GM;2019-02;69
EMEA NORTH;UK;GM;2019-03;46
EMEA NORTH;UK;GM;2019-04;46
EMEA NORTH;UK;GM;2019-05;49
EMEA NORTH;UK;GM;2019-06;62
EMEA NORTH;UK;GM;2019-07;45
EMEA NORTH;UK;GM;2019-08;65
EMEA NORTH;UK;GM;2019-09;56
EMEA NORTH;UK;GM;2019-10;71
EMEA NORTH;UK;GM;2019-11;66
EMEA NORTH;UK;GM;2019-12;98
EMEA NORTH;UK;GM;2020-01;
EMEA NORTH;UK;GM;2020-02;
EMEA NORTH;UK;GM;2020-03;
EMEA NORTH;UK;GM;2020-04;
EMEA NORTH;UK;GM;2020-05;
EMEA NORTH;UK;GM;2020-06;
EMEA NORTH;UK;GM;2020-07;
EMEA NORTH;UK;GM;2020-08;
EMEA NORTH;UK;GM;2020-09;
EMEA NORTH;UK;GM;2020-10;
EMEA NORTH;UK;GM;2020-11;
EMEA NORTH;UK;GM;2020-12;
EMEA NORTH;BELGIUM;VOLVO;2015-01;19152
EMEA NORTH;BELGIUM;VOLVO;2015-02;14782
EMEA NORTH;BELGIUM;VOLVO;2015-03;29118
EMEA NORTH;BELGIUM;VOLVO;2015-04;18622
EMEA NORTH;BELGIUM;VOLVO;2015-05;25523
EMEA NORTH;BELGIUM;VOLVO;2015-06;25933
EMEA NORTH;BELGIUM;VOLVO;2015-07;17528
EMEA NORTH;BELGIUM;VOLVO;2015-08;10627
EMEA NORTH;BELGIUM;VOLVO;2015-09;22139
EMEA NORTH;BELGIUM;VOLVO;2015-10;19181
EMEA NORTH;BELGIUM;VOLVO;2015-11;19140
EMEA NORTH;BELGIUM;VOLVO;2015-12;15886
EMEA NORTH;BELGIUM;VOLVO;2016-01;22357
EMEA NORTH;BELGIUM;VOLVO;2016-02;17969
EMEA NORTH;BELGIUM;VOLVO;2016-03;23224
EMEA NORTH;BELGIUM;VOLVO;2016-04;18489
EMEA NORTH;BELGIUM;VOLVO;2016-05;17328
EMEA NORTH;BELGIUM;VOLVO;2016-06;18865
EMEA NORTH;BELGIUM;VOLVO;2016-07;15256
EMEA NORTH;BELGIUM;VOLVO;2016-08;9218
EMEA NORTH;BELGIUM;VOLVO;2016-09;21532
EMEA NORTH;BELGIUM;VOLVO;2016-10;21178
EMEA NORTH;BELGIUM;VOLVO;2016-11;17351
EMEA NORTH;BELGIUM;VOLVO;2016-12;19841
EMEA NORTH;BELGIUM;VOLVO;2017-01;16529
EMEA NORTH;BELGIUM;VOLVO;2017-02;14478
EMEA NORTH;BELGIUM;VOLVO;2017-03;21614
EMEA NORTH;BELGIUM;VOLVO;2017-04;21291
EMEA NORTH;BELGIUM;VOLVO;2017-05;17372
EMEA NORTH;BELGIUM;VOLVO;2017-06;20590
EMEA NORTH;BELGIUM;VOLVO;2017-07;18838
EMEA NORTH;BELGIUM;VOLVO;2017-08;9394
EMEA NORTH;BELGIUM;VOLVO;2017-09;20080
EMEA NORTH;BELGIUM;VOLVO;2017-10;18723
EMEA NORTH;BELGIUM;VOLVO;2017-11;19923
EMEA NORTH;BELGIUM;VOLVO;2017-12;21978
EMEA NORTH;BELGIUM;VOLVO;2018-01;15737
EMEA NORTH;BELGIUM;VOLVO;2018-02;14097
EMEA NORTH;BELGIUM;VOLVO;2018-03;27046
EMEA NORTH;BELGIUM;VOLVO;2018-04;17216
EMEA NORTH;BELGIUM;VOLVO;2018-05;24163
EMEA NORTH;BELGIUM;VOLVO;2018-06;21229
EMEA NORTH;BELGIUM;VOLVO;2018-07;17071
EMEA NORTH;BELGIUM;VOLVO;2018-08;12867
EMEA NORTH;BELGIUM;VOLVO;2018-09;23903
EMEA NORTH;BELGIUM;VOLVO;2018-10;26244
EMEA NORTH;BELGIUM;VOLVO;2018-11;20917
EMEA NORTH;BELGIUM;VOLVO;2018-12;23690
EMEA NORTH;BELGIUM;VOLVO;2019-01;20476
EMEA NORTH;BELGIUM;VOLVO;2019-02;15918
EMEA NORTH;BELGIUM;VOLVO;2019-03;27860
EMEA NORTH;BELGIUM;VOLVO;2019-04;22989
EMEA NORTH;BELGIUM;VOLVO;2019-05;23875
EMEA NORTH;BELGIUM;VOLVO;2019-06;23240
EMEA NORTH;BELGIUM;VOLVO;2019-07;22293
EMEA NORTH;BELGIUM;VOLVO;2019-08;14298
EMEA NORTH;BELGIUM;VOLVO;2019-09;25277
EMEA NORTH;BELGIUM;VOLVO;2019-10;21021
EMEA NORTH;BELGIUM;VOLVO;2019-11;22479
EMEA NORTH;BELGIUM;VOLVO;2019-12;28697
EMEA NORTH;BELGIUM;VOLVO;2020-01;
EMEA NORTH;BELGIUM;VOLVO;2020-02;
EMEA NORTH;BELGIUM;VOLVO;2020-03;
EMEA NORTH;BELGIUM;VOLVO;2020-04;
EMEA NORTH;BELGIUM;VOLVO;2020-05;
EMEA NORTH;BELGIUM;VOLVO;2020-06;
EMEA NORTH;BELGIUM;VOLVO;2020-07;
EMEA NORTH;BELGIUM;VOLVO;2020-08;
EMEA NORTH;BELGIUM;VOLVO;2020-09;
EMEA NORTH;BELGIUM;VOLVO;2020-10;
EMEA NORTH;BELGIUM;VOLVO;2020-11;
EMEA NORTH;BELGIUM;VOLVO;2020-12;
EMEA NORTH;GERMANY;PORSCHE;2015-01;3216
EMEA NORTH;GERMANY;PORSCHE;2015-02;2571
EMEA NORTH;GERMANY;PORSCHE;2015-03;4209
EMEA NORTH;GERMANY;PORSCHE;2015-04;3540
EMEA NORTH;GERMANY;PORSCHE;2015-05;4458
EMEA NORTH;GERMANY;PORSCHE;2015-06;4069
EMEA NORTH;GERMANY;PORSCHE;2015-07;4178
EMEA NORTH;GERMANY;PORSCHE;2015-08;2391
EMEA NORTH;GERMANY;PORSCHE;2015-09;4485
EMEA NORTH;GERMANY;PORSCHE;2015-10;3654
EMEA NORTH;GERMANY;PORSCHE;2015-11;2736
EMEA NORTH;GERMANY;PORSCHE;2015-12;3286
EMEA NORTH;GERMANY;PORSCHE;2016-01;3214
EMEA NORTH;GERMANY;PORSCHE;2016-02;2702
EMEA NORTH;GERMANY;PORSCHE;2016-03;4739
EMEA NORTH;GERMANY;PORSCHE;2016-04;3790
EMEA NORTH;GERMANY;PORSCHE;2016-05;4208
EMEA NORTH;GERMANY;PORSCHE;2016-06;4338
EMEA NORTH;GERMANY;PORSCHE;2016-07;3927
EMEA NORTH;GERMANY;PORSCHE;2016-08;2086
EMEA NORTH;GERMANY;PORSCHE;2016-09;3315
EMEA NORTH;GERMANY;PORSCHE;2016-10;3569
EMEA NORTH;GERMANY;PORSCHE;2016-11;3091
EMEA NORTH;GERMANY;PORSCHE;2016-12;3777
EMEA NORTH;GERMANY;PORSCHE;2017-01;3905
EMEA NORTH;GERMANY;PORSCHE;2017-02;2501
EMEA NORTH;GERMANY;PORSCHE;2017-03;5350
EMEA NORTH;GERMANY;PORSCHE;2017-04;3892
EMEA NORTH;GERMANY;PORSCHE;2017-05;4031
EMEA NORTH;GERMANY;PORSCHE;2017-06;3510
EMEA NORTH;GERMANY;PORSCHE;2017-07;4253
EMEA NORTH;GERMANY;PORSCHE;2017-08;1774
EMEA NORTH;GERMANY;PORSCHE;2017-09;3615
EMEA NORTH;GERMANY;PORSCHE;2017-10;3511
EMEA NORTH;GERMANY;PORSCHE;2017-11;3132
EMEA NORTH;GERMANY;PORSCHE;2017-12;2892
EMEA NORTH;GERMANY;PORSCHE;2018-01;3474
EMEA NORTH;GERMANY;PORSCHE;2018-02;2545
EMEA NORTH;GERMANY;PORSCHE;2018-03;4695
EMEA NORTH;GERMANY;PORSCHE;2018-04;5450
EMEA NORTH;GERMANY;PORSCHE;2018-05;5999
EMEA NORTH;GERMANY;PORSCHE;2018-06;4332
EMEA NORTH;GERMANY;PORSCHE;2018-07;5631
EMEA NORTH;GERMANY;PORSCHE;2018-08;3062
EMEA NORTH;GERMANY;PORSCHE;2018-09;4599
EMEA NORTH;GERMANY;PORSCHE;2018-10;5100
EMEA NORTH;GERMANY;PORSCHE;2018-11;4370
EMEA NORTH;GERMANY;PORSCHE;2018-12;3828
EMEA NORTH;GERMANY;PORSCHE;2019-01;4983
EMEA NORTH;GERMANY;PORSCHE;2019-02;3661
EMEA NORTH;GERMANY;PORSCHE;2019-03;6444
EMEA NORTH;GERMANY;PORSCHE;2019-04;6100
EMEA NORTH;GERMANY;PORSCHE;2019-05;6077
EMEA NORTH;GERMANY;PORSCHE;2019-06;5780
EMEA NORTH;GERMANY;PORSCHE;2019-07;7500
EMEA NORTH;GERMANY;PORSCHE;2019-08;3650
EMEA NORTH;GERMANY;PORSCHE;2019-09;6037
EMEA NORTH;GERMANY;PORSCHE;2019-10;6725
EMEA NORTH;GERMANY;PORSCHE;2019-11;3967
EMEA NORTH;GERMANY;PORSCHE;2019-12;2971
EMEA NORTH;GERMANY;PORSCHE;2020-01;
EMEA NORTH;GERMANY;PORSCHE;2020-02;
EMEA NORTH;GERMANY;PORSCHE;2020-03;
EMEA NORTH;GERMANY;PORSCHE;2020-04;
EMEA NORTH;GERMANY;PORSCHE;2020-05;
EMEA NORTH;GERMANY;PORSCHE;2020-06;
EMEA NORTH;GERMANY;PORSCHE;2020-07;
EMEA NORTH;GERMANY;PORSCHE;2020-08;
EMEA NORTH;GERMANY;PORSCHE;2020-09;
EMEA NORTH;GERMANY;PORSCHE;2020-10;
EMEA NORTH;GERMANY;PORSCHE;2020-11;
EMEA NORTH;GERMANY;PORSCHE;2020-12;
EMEA NORTH;FRANCE;RENAULT;2015-01;96446
EMEA NORTH;FRANCE;RENAULT;2015-02;88964
EMEA NORTH;FRANCE;RENAULT;2015-03;113936
EMEA NORTH;FRANCE;RENAULT;2015-04;81883
EMEA NORTH;FRANCE;RENAULT;2015-05;84120
EMEA NORTH;FRANCE;RENAULT;2015-06;93683
EMEA NORTH;FRANCE;RENAULT;2015-07;68576
EMEA NORTH;FRANCE;RENAULT;2015-08;54677
EMEA NORTH;FRANCE;RENAULT;2015-09;119096
EMEA NORTH;FRANCE;RENAULT;2015-10;79831
EMEA NORTH;FRANCE;RENAULT;2015-11;82409
EMEA NORTH;FRANCE;RENAULT;2015-12;78338
EMEA NORTH;FRANCE;RENAULT;2016-01;58580
EMEA NORTH;FRANCE;RENAULT;2016-02;68284
EMEA NORTH;FRANCE;RENAULT;2016-03;108235
EMEA NORTH;FRANCE;RENAULT;2016-04;57468
EMEA NORTH;FRANCE;RENAULT;2016-05;78943
EMEA NORTH;FRANCE;RENAULT;2016-06;98714
EMEA NORTH;FRANCE;RENAULT;2016-07;66007
EMEA NORTH;FRANCE;RENAULT;2016-08;36774
EMEA NORTH;FRANCE;RENAULT;2016-09;63898
EMEA NORTH;FRANCE;RENAULT;2016-10;57712
EMEA NORTH;FRANCE;RENAULT;2016-11;52623
EMEA NORTH;FRANCE;RENAULT;2016-12;71590
EMEA NORTH;FRANCE;RENAULT;2017-01;56951
EMEA NORTH;FRANCE;RENAULT;2017-02;57363
EMEA NORTH;FRANCE;RENAULT;2017-03;87734
EMEA NORTH;FRANCE;RENAULT;2017-04;69993
EMEA NORTH;FRANCE;RENAULT;2017-05;63894
EMEA NORTH;FRANCE;RENAULT;2017-06;94195
EMEA NORTH;FRANCE;RENAULT;2017-07;65783
EMEA NORTH;FRANCE;RENAULT;2017-08;42148
EMEA NORTH;FRANCE;RENAULT;2017-09;77496
EMEA NORTH;FRANCE;RENAULT;2017-10;63021
EMEA NORTH;FRANCE;RENAULT;2017-11;58520
EMEA NORTH;FRANCE;RENAULT;2017-12;71141
EMEA NORTH;FRANCE;RENAULT;2018-01;50663
EMEA NORTH;FRANCE;RENAULT;2018-02;49618
EMEA NORTH;FRANCE;RENAULT;2018-03;125923
EMEA NORTH;FRANCE;RENAULT;2018-04;70310
EMEA NORTH;FRANCE;RENAULT;2018-05;74395
EMEA NORTH;FRANCE;RENAULT;2018-06;126358
EMEA NORTH;FRANCE;RENAULT;2018-07;59515
EMEA NORTH;FRANCE;RENAULT;2018-08;34288
EMEA NORTH;FRANCE;RENAULT;2018-09;92031
EMEA NORTH;FRANCE;RENAULT;2018-10;79628
EMEA NORTH;FRANCE;RENAULT;2018-11;66011
EMEA NORTH;FRANCE;RENAULT;2018-12;93638
EMEA NORTH;FRANCE;RENAULT;2019-01;64105
EMEA NORTH;FRANCE;RENAULT;2019-02;62129
EMEA NORTH;FRANCE;RENAULT;2019-03;109486
EMEA NORTH;FRANCE;RENAULT;2019-04;86290
EMEA NORTH;FRANCE;RENAULT;2019-05;77283
EMEA NORTH;FRANCE;RENAULT;2019-06;118926
EMEA NORTH;FRANCE;RENAULT;2019-07;59402
EMEA NORTH;FRANCE;RENAULT;2019-08;46319
EMEA NORTH;FRANCE;RENAULT;2019-09;86295
EMEA NORTH;FRANCE;RENAULT;2019-10;70848
EMEA NORTH;FRANCE;RENAULT;2019-11;71777
EMEA NORTH;FRANCE;RENAULT;2019-12;117735
EMEA NORTH;FRANCE;RENAULT;2020-01;
EMEA NORTH;FRANCE;RENAULT;2020-02;
EMEA NORTH;FRANCE;RENAULT;2020-03;
EMEA NORTH;FRANCE;RENAULT;2020-04;
EMEA NORTH;FRANCE;RENAULT;2020-05;
EMEA NORTH;FRANCE;RENAULT;2020-06;
EMEA NORTH;FRANCE;RENAULT;2020-07;
EMEA NORTH;FRANCE;RENAULT;2020-08;
EMEA NORTH;FRANCE;RENAULT;2020-09;
EMEA NORTH;FRANCE;RENAULT;2020-10;
EMEA NORTH;FRANCE;RENAULT;2020-11;
EMEA NORTH;FRANCE;RENAULT;2020-12;
EMEA SOUTH;SPAIN;SEAT;2015-01;23239
EMEA SOUTH;SPAIN;SEAT;2015-02;21384
EMEA SOUTH;SPAIN;SEAT;2015-03;32239
EMEA SOUTH;SPAIN;SEAT;2015-04;22194
EMEA SOUTH;SPAIN;SEAT;2015-05;25656
EMEA SOUTH;SPAIN;SEAT;2015-06;30669
EMEA SOUTH;SPAIN;SEAT;2015-07;28292
EMEA SOUTH;SPAIN;SEAT;2015-08;18676
EMEA SOUTH;SPAIN;SEAT;2015-09;28942
EMEA SOUTH;SPAIN;SEAT;2015-10;21991
EMEA SOUTH;SPAIN;SEAT;2015-11;20920
EMEA SOUTH;SPAIN;SEAT;2015-12;24337
EMEA SOUTH;SPAIN;SEAT;2016-01;18360
EMEA SOUTH;SPAIN;SEAT;2016-02;20157
EMEA SOUTH;SPAIN;SEAT;2016-03;33074
EMEA SOUTH;SPAIN;SEAT;2016-04;18879
EMEA SOUTH;SPAIN;SEAT;2016-05;20222
EMEA SOUTH;SPAIN;SEAT;2016-06;27639
EMEA SOUTH;SPAIN;SEAT;2016-07;24393
EMEA SOUTH;SPAIN;SEAT;2016-08;19364
EMEA SOUTH;SPAIN;SEAT;2016-09;21083
EMEA SOUTH;SPAIN;SEAT;2016-10;17159
EMEA SOUTH;SPAIN;SEAT;2016-11;21181
EMEA SOUTH;SPAIN;SEAT;2016-12;18459
EMEA SOUTH;SPAIN;SEAT;2017-01;17559
EMEA SOUTH;SPAIN;SEAT;2017-02;15621
EMEA SOUTH;SPAIN;SEAT;2017-03;26818
EMEA SOUTH;SPAIN;SEAT;2017-04;29082
EMEA SOUTH;SPAIN;SEAT;2017-05;23810
EMEA SOUTH;SPAIN;SEAT;2017-06;26025
EMEA SOUTH;SPAIN;SEAT;2017-07;26402
EMEA SOUTH;SPAIN;SEAT;2017-08;17270
EMEA SOUTH;SPAIN;SEAT;2017-09;24890
EMEA SOUTH;SPAIN;SEAT;2017-10;23193
EMEA SOUTH;SPAIN;SEAT;2017-11;20559
EMEA SOUTH;SPAIN;SEAT;2017-12;19726
EMEA SOUTH;SPAIN;SEAT;2018-01;18401
EMEA SOUTH;SPAIN;SEAT;2018-02;20199
EMEA SOUTH;SPAIN;SEAT;2018-03;36759
EMEA SOUTH;SPAIN;SEAT;2018-04;29656
EMEA SOUTH;SPAIN;SEAT;2018-05;26704
EMEA SOUTH;SPAIN;SEAT;2018-06;26364
EMEA SOUTH;SPAIN;SEAT;2018-07;31188
EMEA SOUTH;SPAIN;SEAT;2018-08;15057
EMEA SOUTH;SPAIN;SEAT;2018-09;28046
EMEA SOUTH;SPAIN;SEAT;2018-10;26360
EMEA SOUTH;SPAIN;SEAT;2018-11;25252
EMEA SOUTH;SPAIN;SEAT;2018-12;24802
EMEA SOUTH;SPAIN;SEAT;2019-01;25297
EMEA SOUTH;SPAIN;SEAT;2019-02;25790
EMEA SOUTH;SPAIN;SEAT;2019-03;35831
EMEA SOUTH;SPAIN;SEAT;2019-04;31184
EMEA SOUTH;SPAIN;SEAT;2019-05;26242
EMEA SOUTH;SPAIN;SEAT;2019-06;38122
EMEA SOUTH;SPAIN;SEAT;2019-07;30384
EMEA SOUTH;SPAIN;SEAT;2019-08;18023
EMEA SOUTH;SPAIN;SEAT;2019-09;25950
EMEA SOUTH;SPAIN;SEAT;2019-10;21214
EMEA SOUTH;SPAIN;SEAT;2019-11;23563
EMEA SOUTH;SPAIN;SEAT;2019-12;25455
EMEA SOUTH;SPAIN;SEAT;2020-01;
EMEA SOUTH;SPAIN;SEAT;2020-02;
EMEA SOUTH;SPAIN;SEAT;2020-03;
EMEA SOUTH;SPAIN;SEAT;2020-04;
EMEA SOUTH;SPAIN;SEAT;2020-05;
EMEA SOUTH;SPAIN;SEAT;2020-06;
EMEA SOUTH;SPAIN;SEAT;2020-07;
EMEA SOUTH;SPAIN;SEAT;2020-08;
EMEA SOUTH;SPAIN;SEAT;2020-09;
EMEA SOUTH;SPAIN;SEAT;2020-10;
EMEA SOUTH;SPAIN;SEAT;2020-11;
EMEA SOUTH;SPAIN;SEAT;2020-12;
EMEA SOUTH;ITALIA;GM;2015-01;10619
EMEA SOUTH;ITALIA;GM;2015-02;9772
EMEA SOUTH;ITALIA;GM;2015-03;15296
EMEA SOUTH;ITALIA;GM;2015-04;13084
EMEA SOUTH;ITALIA;GM;2015-05;12969
EMEA SOUTH;ITALIA;GM;2015-06;12539
EMEA SOUTH;ITALIA;GM;2015-07;11400
EMEA SOUTH;ITALIA;GM;2015-08;5772
EMEA SOUTH;ITALIA;GM;2015-09;12089
EMEA SOUTH;ITALIA;GM;2015-10;9035
EMEA SOUTH;ITALIA;GM;2015-11;8849
EMEA SOUTH;ITALIA;GM;2015-12;6780
EMEA SOUTH;ITALIA;GM;2016-01;9213
EMEA SOUTH;ITALIA;GM;2016-02;8769
EMEA SOUTH;ITALIA;GM;2016-03;8970
EMEA SOUTH;ITALIA;GM;2016-04;9404
EMEA SOUTH;ITALIA;GM;2016-05;10165
EMEA SOUTH;ITALIA;GM;2016-06;8988
EMEA SOUTH;ITALIA;GM;2016-07;7663
EMEA SOUTH;ITALIA;GM;2016-08;4280
EMEA SOUTH;ITALIA;GM;2016-09;6251
EMEA SOUTH;ITALIA;GM;2016-10;6475
EMEA SOUTH;ITALIA;GM;2016-11;5939
EMEA SOUTH;ITALIA;GM;2016-12;5369
EMEA SOUTH;ITALIA;GM;2017-01;5782
EMEA SOUTH;ITALIA;GM;2017-02;3979
EMEA SOUTH;ITALIA;GM;2017-03;6440
